tt0206512,"""SpongeBob SquarePants""",1999
tt0206512,"""SpongeBob SquarePants""",1999
tt0345950,"The SpongeBob SquarePants Movie",2004
tt0395770,"SpongeBob SquarePants: Battle for Bikini Bottom",2003
tt0491165,"SpongeBob SquarePants: Lights, Camera, Pants!",2005
tt0356063,"SpongeBob SquarePants: Revenge of the Flying Dutchman",2002
tt1489931,"Square Roots: The Story of SpongeBob SquarePants",2009
tt0434356,"The SpongeBob Squarepants Movie",2004
tt0471693,"Everybody's Talking: The Voices of Spongebob Squarepants",2003
tt0833994,"SpongeBob SquarePants: A Day in the Life of a Sponge",2004
tt0344359,"SpongeBob SquarePants: Employee of the Month",2002
tt1347360,"SpongeBob SquarePants featuring Nicktoons: Globs of Doom",2008
tt0283000,"SpongeBob SquarePants: Legend of the Lost Spatula",2001
tt0344360,"SpongeBob SquarePants: Operation Krabby Patty",2001
tt0306086,"SpongeBob SquarePants: SuperSponge",2001
tt0471855,"The Origin of Spongebob Squarepants",2003
tt1914345,"Spongebob Squigglepants",2011
tt1401147,"SpongeBob's Atlantis SquarePantis",2008
tt1562447,"SpongeBob's Truth or Square",2009
tt1737124,"Case of the Sponge 'Bob'",2005
tt1385535,"Frequency Response: Observations",2003
